continent;location;new_cases_per_million;people_fully_vaccinated_per_hundred
Europe;Austria;828.278;66.92
Europe;Belarus;126.345;28.72
Europe;Belgium;1480.16;74.83
Europe;Bulgaria;203.377;26.14
Europe;Croatia;756.021;48.49
Europe;Czechia;1318.96;59.82
Europe;Denmark;507.754;76.78
Europe;Finland;206.946;73.07
Europe;France;353.569;70.01
Europe;Germany;454.535;68.39
Europe;Greece;410.693;64.25
Europe;Hungary;990.919;60.9
Europe;Ireland;662.242;76.23
Europe;Italy;148.309;73.14
Europe;Moldova;98.339;23.48
Europe;Netherlands;899.269;74.08
Europe;Norway;354.963;70.45
Europe;Poland;426.394;54.29
Europe;Portugal;212.28;88.56
Europe;Romania;63.9698;39.25
Europe;Russia;159.227;40.23
Europe;Serbia;224.972;45.65
Europe;Slovakia;1430.88;43.03
Europe;Spain;183.134;80.55
Europe;Sweden;201.608;70.66
Europe;Switzerland;830.596;65.59
Europe;Ukraine;208.269;27.21
Europe;United Kingdom;452.727;68.21
